Data Set 10:Time(s),Data Set 10:615 nm,Data Set 10:525 nm,Data Set 10:465 nm
31.45,0.506214,0.647584,0.000000
31.50,0.000000,0.863446,0.000000
31.55,0.000000,0.863446,0.000000
31.60,0.000000,0.863446,0.000000
31.65,0.000000,0.863446,0.000000
31.70,0.000000,0.863446,0.000000
31.75,0.000000,0.863446,0.000000
31.80,0.000000,0.863446,0.000000
31.85,0.000000,0.863446,0.000000
31.90,0.000000,0.863446,0.000000
31.95,0.000000,0.863446,0.000000
32.00,0.000000,0.863446,0.000000
32.05,0.000000,0.863446,0.000000
32.10,0.000000,0.863446,0.000000
32.15,0.000000,0.863446,0.000000
32.20,0.000000,0.863446,0.000000
32.25,0.000000,0.863446,0.000000
32.30,0.000000,0.863446,0.000000
32.35,0.000000,0.863446,0.000000
32.40,0.000000,0.863446,0.000000
32.45,0.000000,0.863446,0.000000
32.50,0.000000,0.863446,0.000000
32.55,0.000000,0.863446,0.000000
32.60,0.000000,0.863446,0.000000
32.65,0.000000,0.863446,0.000000
32.70,0.000000,0.863446,0.000000
32.75,0.000000,0.863446,0.000000
32.80,0.000000,0.863446,0.000000
32.85,0.000000,0.863446,0.000000
32.90,0.000000,0.863446,0.000000
32.95,0.000000,0.863446,0.000000
33.00,0.000000,0.863446,0.000000
33.05,0.000000,0.863446,0.000000
33.10,0.000000,0.863446,0.000000
33.15,0.000000,0.863446,0.000000
33.20,0.000000,0.863446,0.000000
33.25,0.000000,0.863446,0.000000
33.30,0.000000,0.863446,0.000000
33.35,0.000000,0.863446,0.000000
33.40,0.000000,0.863446,0.000000
33.45,0.000000,0.863446,0.000000
33.50,0.000000,0.863446,0.000000
33.55,0.000000,0.863446,0.000000
33.60,0.000000,0.863446,0.000000
33.65,0.000000,0.863446,0.000000
33.70,0.000000,0.863446,0.000000
33.75,0.000000,0.863446,0.000000
33.80,0.000000,0.863446,0.000000
33.85,0.000000,0.863446,0.000000
33.90,0.000000,0.863446,0.000000
33.95,0.000000,0.863446,0.000000
34.00,0.000000,0.863446,0.000000
34.05,0.000000,0.863446,0.000000
34.10,0.000000,0.863446,0.000000
34.15,0.000000,0.863446,0.000000
34.20,0.000000,0.863446,0.000000
34.25,0.000000,0.863446,0.000000
34.30,0.000000,0.863446,0.000000
34.35,0.000000,0.863446,0.000000
34.40,0.000000,0.863446,0.000000
34.45,0.000000,0.863446,0.000000
34.50,0.000000,0.863446,0.000000
34.55,0.000000,0.863446,0.000000
34.60,0.000000,0.863446,0.000000
34.65,0.000000,0.863446,0.000000
34.70,0.000000,0.863446,0.000000
34.75,0.000000,0.863446,0.000000
34.80,0.000000,0.863446,0.000000
34.85,0.000000,0.863446,0.000000
34.90,0.000000,0.863446,0.000000
34.95,0.000000,0.863446,0.000000
35.00,0.000000,0.863446,0.000000
35.05,0.000000,0.863446,0.000000
35.10,0.000000,0.863446,0.000000
35.15,0.000000,0.863446,0.000000
35.20,0.000000,0.863446,0.000000
35.25,0.000000,0.863446,0.000000
35.30,0.000000,0.863446,0.000000
35.35,0.000000,0.863446,0.000000
35.40,0.000000,0.863446,0.000000
35.45,0.000000,0.863446,0.000000
35.50,0.000000,0.863446,0.000000
35.55,0.000000,0.863446,0.000000
35.60,0.000000,0.863446,0.000000
35.65,0.000000,0.863446,0.000000
35.70,0.000000,0.863446,0.000000
35.75,0.000000,0.863446,0.000000
35.80,0.000000,0.863446,0.000000
35.85,0.000000,0.863446,0.000000
35.90,0.000000,0.863446,0.000000
35.95,0.000000,0.863446,0.000000
36.00,0.000000,0.863446,0.000000
36.05,0.000000,0.863446,0.000000
36.10,0.000000,0.863446,0.000000
36.15,0.000000,0.863446,0.000000
36.20,0.000000,0.863446,0.000000
36.25,0.000000,0.863446,0.000000
36.30,0.000000,0.863446,0.000000
